,ab_id,px,pz,code,pitch_type,b_count,s_count,zones,swing,result
128918,2018109346,-0.291271723971314,-1.1623789201531398,*B,SL,2.0,2.0,15,0,Ball
128919,2018109346,-0.342132013640899,0.739731166099949,B,SL,3.0,2.0,15,0,Ball
128947,2018109370,0.16220072677373498,2.31445651599919,C,FF,0.0,0.0,4,0,Ball
128948,2018109370,-0.299538582333301,2.07236291917258,D,FF,0.0,1.0,6,1,Hit
128976,2018109386,0.9434785463935071,1.7241871295413,B,CU,0.0,0.0,13,0,Ball
128977,2018109386,0.538266264816623,3.04326843281421,C,SL,1.0,0.0,2,0,Ball
128978,2018109386,0.114879153312949,1.99598858185991,X,SL,1.0,1.0,7,1,Out
129379,2018111072,0.743590343140635,2.54149026201189,C,FT,0.0,0.0,5,0,Ball
129380,2018111072,0.00686452373877564,2.15023810434316,F,CH,0.0,1.0,7,1,Foul
129381,2018111072,0.19525477224751606,2.94255493912344,F,FF,0.0,2.0,4,1,Foul
129382,2018111072,1.20100981683801,1.45202988821766,B,CH,0.0,2.0,16,0,Ball
129383,2018111072,0.358570538364028,2.89871391759928,F,FF,1.0,2.0,5,1,Foul
129384,2018111072,0.167546481114617,2.99560267350031,F,FF,1.0,2.0,1,1,Foul
129385,2018111072,-1.41200349791506,0.103831395135268,B,SL,1.0,2.0,14,0,Ball
129386,2018111072,-0.549157913543646,3.77148842285865,X,FF,2.0,2.0,10,1,Out
129412,2018111092,0.13689116657979306,1.603893543562,C,FT,0.0,0.0,7,0,Ball
129413,2018111092,-0.42675888495945097,3.25909025066358,X,FF,0.0,1.0,0,1,Out
129438,2018111112,1.24077168870778,2.04433996011347,B,FT,0.0,0.0,13,0,Ball
129439,2018111112,0.533921540432838,1.81762273177126,D,CH,1.0,0.0,8,1,Hit
129601,2018112160,0.9162363210454542,3.1505733876311703,C,FF,0.0,0.0,13,0,Ball
129602,2018112160,0.950221978559122,0.712734429048277,*B,SL,0.0,1.0,16,0,Ball
129603,2018112160,0.7593904140510329,1.87844216462844,D,SL,1.0,1.0,8,1,Hit
129622,2018112180,0.303391712982489,2.95315672316534,C,FF,0.0,0.0,5,0,Ball
129623,2018112180,0.4396574545721579,1.97006531321124,F,FF,0.0,1.0,8,1,Foul
129624,2018112180,0.8220063578612791,2.6866940013181297,F,FF,0.0,2.0,5,1,Foul
129625,2018112180,-0.0280150685057587,4.29079013212213,B,FF,0.0,2.0,10,0,Ball
129626,2018112180,0.5568707273151551,3.42975370629933,S,FF,1.0,2.0,2,1,Strike
129647,2018112202,-0.115548631566794,2.10133946132044,C,FF,0.0,0.0,7,0,Ball
129648,2018112202,0.7808084519920071,2.1728036588866297,X,FF,0.0,1.0,8,1,Out
131620,2018122951,0.520574850154069,2.43572191708653,C,SI,0.0,0.0,5,0,Ball
131621,2018122951,1.26707730208492,1.27583542149044,B,SL,0.0,1.0,16,0,Ball
131622,2018122951,0.218887073504737,1.86015561430812,L,SL,1.0,1.0,7,1,Strike
131623,2018122951,1.38219436025431,2.2692646872663302,S,SL,1.0,2.0,13,1,Strike
131633,2018122970,0.286271258947568,3.72269442758541,B,SL,0.0,0.0,10,0,Ball
131634,2018122970,0.625642353039969,1.91096876184895,D,SI,1.0,0.0,8,1,Hit
131641,2018122987,0.886597703791388,-0.27559929106668496,*B,CH,0.0,0.0,16,0,Ball
131642,2018122987,-0.207576034067793,1.8325947439302,F,CH,1.0,0.0,7,1,Foul
131643,2018122987,-0.0251515536988621,2.36599858752662,F,CH,1.0,1.0,4,1,Foul
131644,2018122987,0.577777436576313,1.94024394135194,X,SI,1.0,2.0,8,1,Out
135295,2018143091,1.4122783964647767,2.7853066335677936,B,SI,0.0,0.0,13,0,Ball
135296,2018143091,0.5173573083441416,1.8562848830751508,X,FC,1.0,0.0,8,1,Out
135307,2018143108,-1.1959802928861207,4.274178871826027,B,SI,0.0,0.0,9,0,Ball
135308,2018143108,-0.13982663000559872,2.263301986940088,X,SI,1.0,0.0,4,1,Out
135326,2018143129,-0.15057066100725255,3.3064684656429786,B,SI,0.0,0.0,1,0,Ball
135327,2018143129,-0.1645029045209095,2.1357458095081348,D,SI,1.0,0.0,7,1,Hit
138418,2018160878,1.02696251711985,2.85455426880294,B,FF,0.0,0.0,13,0,Ball
138419,2018160878,0.217719107613387,3.40026027752398,S,FF,1.0,0.0,1,1,Strike
138420,2018160878,0.158236293267545,2.3112139991656004,X,SL,1.0,1.0,4,1,Out
138467,2018160893,0.4102637774446621,2.756683333899029,X,FF,0.0,0.0,5,1,Out
138506,2018160908,-0.45244716954847,3.54927949753633,B,SL,0.0,0.0,0,0,Ball
138507,2018160908,0.5545821720827769,4.15954347996301,B,FF,1.0,0.0,10,0,Ball
138508,2018160908,0.513406304075088,2.52474148617076,C,FF,2.0,0.0,5,0,Ball
138509,2018160908,0.630822329831577,1.53244521276077,F,SL,2.0,1.0,8,1,Foul
138510,2018160908,0.0992316133926366,3.85513589287622,F,FF,2.0,2.0,10,1,Foul
138511,2018160908,0.656789420831652,2.21380991694478,F,SL,2.0,2.0,8,1,Foul
138512,2018160908,1.12983793646262,1.4315329486441002,F,SL,2.0,2.0,16,1,Foul
138513,2018160908,0.7757695563312229,3.9748934562482,B,FF,2.0,2.0,10,0,Ball
138514,2018160908,0.313690248567138,2.68536488884154,C,SL,3.0,2.0,5,0,Ball
138829,2018163135,0.303017018905168,2.4247246199857404,C,FT,0.0,0.0,5,0,Ball
138830,2018163135,1.2507554635704,2.8478262260396403,B,FT,0.0,1.0,13,0,Ball
138831,2018163135,-0.04813061108434896,2.414408117778227,F,CH,1.0,1.0,4,1,Foul
138832,2018163135,0.8335482572942652,1.6721959627828782,F,FT,1.0,2.0,13,1,Foul
138833,2018163135,1.3199314657386998,-0.280929090606414,B,SL,1.0,2.0,16,0,Ball
